staff_id,staff_first_name,staff_last_name,staff_role,staff_phone_number,staff_fax_number,staff_email,staff_salary,salary_grade,,,,,,
845494647,Mersey,Gerardeaux,Vice President,4202678845,7167626215,mgerardeaux@headura.com,1124410,10,,,,,,
567517674,Stanwood,Pehrsson,Accountant,9866313616,9049795615,spehrsson@headura.com,571353,7,,,,,,
467394852,Catarina,Ten Broek,Assistant Media Planner,4911066762,5298266534,ctenbroek@headura.com,238191,6,,,,,,
737258628,Clemmy,Lindfors,Project Lead,1894141600,3062479117,clindfors@headura.com,563689,7,,,,,,
780924893,Thomasina,Tomaino,Graphic Designer,5962590417,8122490208,ttomaino@headura.com,47617,2,,,,,,
345430228,Nicolis,Tayloe,Account Manager,8533733673,6404638038,ntayloe@headura.com,586690,7,,,,,,
275929617,Brooke,Radoux,President,5789049505,8945755535,bradoux@headura.com,3445700,10,,,,,,
666085538,Kiah,Trett,Client Relations,7211605147,7014145848,ktrett@headura.com,297331,6,,,,,,
117317405,Staci,Brachell,Project Lead,7861089295,1483034893,sbrachell@headura.com,742376,8,,,,,,
323469328,Mellisent,Weiner,Purchasing Assisstant,2819134692,5057463978,myweiner@headura.com,500000,7,,,,,,
608285122,Mathilda,Bern,Campaign Manager,7302474301,6031065147,mbern@headura.com,76731,3,,,,,,
396809357,Kip,Prium,Campaign Manager,7849723476,1827216790,kprium@headura.com,320832,6,,,,,,
401810810,Brnaby,Iannelli,Project Lead,4893475978,4557267516,biannelli@headura.com,104974,5,,,,,,
831035148,Bord,Beevors,Project Lead,6643513199,2378393599,bbeevors@headura.com,432074,7,,,,,,
611294788,Petronille,Hanster,Campaign Manager,1146234055,4659399158,phanster@headura.com,45915,2,,,,,,
192720770,Carleen,Reyna,Campaign Manager,7467648851,2614449903,creyna@headura.com,820079,8,,,,,,
483229784,Deva,Jambrozek,Project Lead,2297545343,8219074266,djambrozek@headura.com,82468,4,,,,,,
316659224,Nerti,Barter,Project Manager,6337267483,7743085062,nbarter@headura.com,186573,5,,,,,,
276183243,Cecilla,Stirling,Campaign Manager,3267597676,1567459122,cstirling@headura.com,60588,3,,,,,,
996105002,Gordy,McAvinchey,Campaign Manager,6902731750,5093873136,gmcavinchey@headura.com,210637,6,,,,,,
